X,Y,Omega,Omegadt,Theta,Thetadt,Psi,d,T
2.9443758728291956,-0.01618940573974835,0.00066706907574128321,-0.00065388714176197816,-0.00026008112819719863,-0.016349732248560789,0.0,-0.02,2
2.9721520203286156,-0.016490351519045023,0.00066053020432366345,0.00085189507551812482,-0.00042357845068280653,0.18735215846991501,0.0,0.02,2
2.9999281671228211,-0.016791362379889891,0.00066904915507884474,0.00012203308603191717,0.0014499431340163436,-0.016398263604873536,0.0,-0.02,-2
3.0277043127681602,-0.017092479235128324,0.00067026948593916394,-0.00097795895276274686,0.0012859604979676082,-0.219969797937141,0.0,-0.02,-2
3.0554804623444864,-0.017393233262774491,0.00066048989641153647,-0.0014928037999024193,-0.00091373748140380177,-0.21973010211538543,0.0,-0.02,0
3.0832566154032555,-0.01769366549714976,0.0006455618584125123,-0.00041488546560747709,-0.0031110385025576561,-0.015822594568934034,0.0,0.02,2
3.1110327659879635,-0.01799432638123739,0.00064141300375643751,0.0010104039140001262,-0.0032692644482469964,0.18782071730734701,0.0,0.02,2
3.1388089081349997,-0.018295765760276257,0.00065151704289643879,-0.00059362036495357452,-0.0013910572751735263,0.18757306928920972,0.0,-0.02,0
3.1665850413917132,-0.018598023228171213,0.00064558083924690307,-0.0019693158404900856,0.00048467341771857081,-0.015823059785463223,0.0,-0.02,-2
3.1943611708583379,-0.018900628788088958,0.00062588768084200224,-0.00015767856212052403,0.0003264428198639386,0.18820123992779886,0.0,0.02,2
3.2221373016460033,-0.019203113065547478,0.00062431089522079701,-0.0012717292222015392,0.0022084552191419275,-0.015301737627960665,0.0,-0.02,-2
3.2499134333231328,-0.0195055156554481,0.00061159360299878167,-0.0025135722325808768,0.002055437842862321,-0.2185316635513474,0.0,-0.02,-2
3.2776895710113738,-0.019807365610670005,0.00058645788067297289,-0.00085435328932300498,-0.00012987879265115299,-0.014373967663553228,0.0,0.02,2
3.3054657142843547,-0.020108701221651589,0.00057791434777974284,-0.00056422171262281965,-0.00027361846928668524,0.18937705691461892,0.0,0.02,2
3.33324185720473,-0.020410069332921013,0.00057227213065351467,-0.00063004555521983222,0.001620152099859504,-0.014026277712095886,0.0,-0.02,-2
3.3610179993821392,-0.020711505913251667,0.00056597167510131639,-0.0025192029711102754,0.0014798893227385452,-0.21741347904405653,0.0,-0.02,-2
3.3887941459563513,-0.021012537073600231,0.00054077964539021362,-0.0035041170553867023,-0.00069424546770202014,-0.21679602733545106,0.0,-0.02,0
3.4165702965415461,-0.021313197912726106,0.00050573847483634661,-0.0048977979215255978,-0.0028622057410565309,-0.21593717511599353,0.0,-0.02,0
3.4443464452457251,-0.021614032476798817,0.00045676049562109062,-0.0049776555176542598,-0.0050215774922164665,-0.011195110186791396,0.0,-0.02,2
3.4721225861834375,-0.021915583268423536,0.000406983940444548,-0.0035713896107069003,-0.0051335285940843807,0.19356652768263841,0.0,0.02,2
3.4998987134506234,-0.022218390647275755,0.00037127004433747899,-0.0039106186493311334,-0.0031978633172579964,-0.0090997559886636659,0.0,-0.02,-2
3.5276748266837439,-0.022522482627570631,0.00033216385784416767,-0.0033964322780089574,-0.0032888608771446332,0.19540035323656929,0.0,0.02,2
